item	locus_ambiguity	postlocus_cue	sentence	sentence_original	prompt_pre	prompt_post	prompt_pre_original	prompt_post_original	occurrence_postlocus_cue	occurrence_locus_ambiguity	disambiguation_type
N-V_1	suit	me	Mary thinks that those pants suit me very well.	Mary thinks that those pants suit me very well.	Mary thinks that those pants suit	Mary thinks that those pants suit me	Mary thinks that those pants suit	Mary thinks that those pants suit me	1	1	agreement
N-V_2	fires	numerous	The local newspaper reported that this warehouse fires numerous employees each year.	The local newspaper reported that this warehouse fires numerous employees each year.	The local newspaper reported that this warehouse fires	The local newspaper reported that this warehouse fires numerous	The local newspaper reported that this warehouse fires	The local newspaper reported that this warehouse fires numerous	1	1	agreement
N-V_3	might	be	In my opinion, the army might be very dangerous in that country.	In my opinion, the army might be very dangerous in that country.	In my opinion, the army might	In my opinion, the army might be	In my opinion, the army might	In my opinion, the army might be	1	1	change_modifier
N-V_4	rings	loudly	We all should have known that this metal rings loudly and for a long time.	We all should have known that this metal rings loudly and for a long time.	We all should have known that this metal rings	We all should have known that this metal rings loudly	We all should have known that this metal rings	We all should have known that this metal rings loudly	1	1	agreement
N-V_5	figure	other	I find it difficult to believe that these Chinese figure other countries won't attack a country as large as China.	Personally I find it difficult to believe that these Chinese figure other countries won't attack a country as large as China.	I find it difficult to believe that these Chinese figure	I find it difficult to believe that these Chinese figure other	I find it difficult to believe that these Chinese figure	I find it difficult to believe that these Chinese figure other	1	1	agreement_change_modifier
N-V_6	bears	no	Susan was extremely surprised that this winter bears no resemblance to the summer back home.	Susan was extremely surprised that this winter bears no resemblance to the summer back home.	Susan was extremely surprised that this winter bears	Susan was extremely surprised that this winter bears no	Susan was extremely surprised that this winter bears	Susan was extremely surprised that this winter bears no	1	1	agreement
N-V_7	checks	the	A lot of people know that a cashier checks the door every evening when the bank closes.	A lot of people know that a cashier checks the door every evening when the bank closes.	A lot of people know that a cashier checks	A lot of people know that a cashier checks the	A lot of people know that a cashier checks	A lot of people know that a cashier checks the	1	1	agreement
N-V_8	shows	lots	Local people are concerned that this theater shows lots of expensive productions.	Local people are concerned that this theater shows lots of expensive productions.	Local people are concerned that this theater shows	Local people are concerned that this theater shows lots	Local people are concerned that this theater shows	Local people are concerned that this theater shows lots	1	1	agreement
N-V_9	can	smell	Everyone agrees that lots of trash can smell awful.	Everyone agrees that lots of trash can smell awful.	Everyone agrees that lots of trash can	Everyone agrees that lots of trash can smell	Everyone agrees that lots of trash can	Everyone agrees that lots of trash can smell	1	1	agreement_change_determiner
N-V_10	trains	young	I know that this desert trains young people to be especially tough.	I know that this desert trains young people to be especially tough.	I know that this desert trains	I know that this desert trains young	I know that this desert trains	I know that this desert trains young	1	1	agreement
