item	locus_ambiguity	postlocus_cue	sentence	sentence_original	prompt_pre	prompt_post	prompt_pre_original	prompt_post_original	occurrence_postlocus_cue	occurrence_locus_ambiguity	disambiguation_type
N-V_1	suit	is	Mary thinks that this pants suit is very pretty.	Mary thinks that this pants suit is very pretty.	Mary thinks that this pants suit	Mary thinks that this pants suit is	Mary thinks that this pants suit	Mary thinks that this pants suit is	1	1	agreement
N-V_2	fires	harm	The local newspaper reported that these warehouse fires harm some employees each year.	The local newspaper reported that these warehouse fires harm some employees each year.	The local newspaper reported that these warehouse fires	The local newspaper reported that these warehouse fires harm	The local newspaper reported that these warehouse fires	The local newspaper reported that these warehouse fires harm	1	1	agreement
N-V_3	might	of	In my opinion, the political might of that country is very dangerous.	In my opinion, the political might of that country is very dangerous.	In my opinion, the political might	In my opinion, the political might of	In my opinion, the political might	In my opinion, the political might of	1	1	change_modifier
N-V_4	rings	are	We all should have known that those metal rings are very strong.	We all should have known that those metal rings are very strong.	We all should have known that those metal rings	We all should have known that those metal rings are	We all should have known that those metal rings	We all should have known that those metal rings are	1	1	agreement
N-V_5	figures	are	I find it difficult to believe that the China figures are sought after in many other countries.	Personally I find it difficult to believe that the China figures are sought after in many other countries.	I find it difficult to believe that the China figures	I find it difficult to believe that the China figures are	Personally I find it difficult to believe that the China figures	Personally I find it difficult to believe that the China figures are	1	1	agreement_change_modifier
N-V_6	bears	resemble	Susan was extremely surprised that those winter bears resemble the summer bears back home.	Susan was extremely surprised that those winter bears resemble the summer bears back home.	Susan was extremely surprised that those winter bears	Susan was extremely surprised that those winter bears resemble	Susan was extremely surprised that those winter bears	Susan was extremely surprised that those winter bears resemble	1	1	agreement
N-V_7	checks	are	A lot of people know that those cashier checks are left by the door when the bank closes.	Lots of people know that those cashier checks are left by the door when the bank closes.	A lot of people know that those cashier checks	A lot of people know that those cashier checks are	Lots of people know that those cashier checks	Lots of people know that those cashier checks are	1	1	agreement
N-V_8	shows	are	Local people are concerned that many theater shows are very expensive productions.	Local people are concerned that many theater shows are very expensive productions.	Local people are concerned that many theater shows	Local people are concerned that many theater shows are	Local people are concerned that many theater shows	Local people are concerned that many theater shows are	2	1	agreement
N-V_9	can	smells	Everyone agrees that an old trash can smells awful.	Everyone agrees that an old trash can smells awful.	Everyone agrees that an old trash can	Everyone agrees that an old trash can smells	Everyone agrees that an old trash can	Everyone agrees that an old trash can smells	1	1	agreement_change_determiner
N-V_10	trains	are	I know that these desert trains are especially tough on young people.	I know that these desert trains are especially tough on young people.	I know that these desert trains	I know that these desert trains are	I know that these desert trains	I know that these desert trains are	1	1	agreement
N-V_11	state	strips	In many large nations, a poor state strips rich states of their rights.	In many large nations, a poor state deprives rich states of their rights.	In many large nations, a poor state	In many large nations, a poor state strips	In many large nations, a poor state	In many large nations, a poor state deprives	1	1	agreement
N-V_12	cases	are	In an old version of that movie, those detective cases are filled with secret compartments.	In an old version of that movie, those detective cases are filled with secret compartments.	In an old version of that movie, those detective cases	In an old version of that movie, those detective cases are	In an old version of that movie, those detective cases	In an old version of that movie, those detective cases are	1	1	agreement
